Employee_ID,Manager_ID,Department,Job_Title,Performance_Rating,Hire_Date,Onboarding_Date,First_Project_Start_Date,Bonus,Training_Program,Mentor_ID,Professional_Development_Hours,Number_Of_Promotions,Highest_Education_Level,Certifications,Annual_Salary_Increase_Percentage,Performance_Bonus_Percentage,Work_Hours_Per_Week,Telecommuting_Days_Per_Week,Overtime_Hours_Per_Week,Number_Of_Team_Building_Activities,Conflict_Resolution_Cases,Customer_Complaints_Handled,Leadership_Qualities_Rating,Technical_Skills_Rating,Communication_Skills_Rating,Problem_Solving_Skills_Rating,Teamwork_Skills_Rating,Initiative_Rating,Adaptability_Rating,Creativity_Rating,Strategic_Thinking_Rating,Employee_Engagement_Score,Innovation_Projects_Involvement,Feedback_From_Colleagues,Feedback_From_Supervisors,Employee_Resignation_Status,Supplier_Contact,Work_Quality_Improvement_Plan,Career_Goals_Set,Career_Goals_Achievement_Status,Hiring_Source,Time_to_Hire,Hiring_Manager_Satisfaction,Recruitment_Cost,Offer_Acceptance_Date,Project_ID,Project_Type,Project_Size,Project_Complexity,Project_Role,Project_Outcome,Peer_Reviews,Customer_Feedback,Innovation_Contributions,Leadership_Potential,Development_Plan_Completion,Internship_Duration,Internship_Completion_Status,Internship_Supervisor_ID,Internship_Project_Assigned,Internship_Evaluation_Score,Internship_Conversion_Status,Internship_Learning_Outcomes,Mentor_Experience_Level,Mentor_Rating,Mentor_Availability_Hours_Per_Week,Mentor_Training_Provided,Internship_Goals_Set,Internship_Goals_Achievement_Status,Employee_Training_Cost,Employee_Award_Recognition,Employee_Health_Insurance_Coverage,Employee_Travel_Allowance,Employee_Stock_Options,Employee_Compensation_Benefits,Employee_Savings_Plans,Employee_Training_Certification_Status,Employee_Training_Evaluation_Score,Employee_Training_Cost_Budget,Employee_Training_Participation_Rate,Employee_Professional_Associations,Employee_Mentorship_Program_Participation,Employee_Volunteer_Activities,Employee_Work_Life_Balance_Rating,Employee_Retirement_Benefits,Employee_Annual_Salary_Adjustment,Employee_Job_Satisfaction_Score,Employee_Leadership_Training,Employee_Team_Leadership_Experience,Employee_Conflict_Resolution_Skills,Employee_Organizational_Culture_Fit,Employee_Innovative_Skills,Employee_Problem_Solving_Capabilities,Employee_Technical_Training_Programs,Employee_Development_Opportunities,Employee_Career_Progression_Plan,Employee_Professional_Growth_Potential,Employee_Performance_Improvement_Plan,Employee_Recognition_Programs_Participation,Employee_Job_Rotation_Experience,Employee_Team_Collaboration_Effectiveness,Employee_Stakeholder_Management_Skills,Employee_Personal_Development_Plans,Future_Date,Onboarding_Delay_Days,Project_Start_Delay_Days,Tenure_Days,Tenure_Years,Total_Skills_Score,Avg_Skills_Score,Total_Soft_Skills_Score,Avg_Soft_Skills_Score,Performance_Category
2024/HR/0010,2024/Marketing/0071,Marketing,Analyst,6,2019-03-16,2019-08-05,2019-09-14,4976,Advanced,2024/Sales/0004,52,1,Master,Google Cloud,4,1,38,1,5,6,4,3,6,4,11,9,6,11,3,7,11,89,No,10,5,No,Direct Visit,Yes,Medium-Term,Not Started,Agency,30,10,4913,2019-03-16,Project-81,Development,Small,Complex,Manager,Successful,12,3,Low,High,Not Started,6,Completed,2024/Finance/0001,Project C,8,Converted,Learning Outcome C,Senior,9,8,Yes,Yes,Not Started,925,Recognition,Premium,1540,Stock Options,5016,3010,Not Certified,77,1026,76,Active,Active,Yes,7,Standard,5,9,Unknown,9,4,3,3,3,6,1,10,7,8,No,9,10,9.0,Active,2118-11-02,142,40,2599,7.12,36,7.2,32,8.0,Medium
2024/Marketing/0011,2024/Marketing/0173,Marketing,Analyst,10,2020-12-24,2021-05-21,2021-06-28,4964,Unknown,2024/Finance/0001,74,0,Phd,Pmp,6,7,37,2,12,5,4,4,11,9,10,10,10,7,5,3,10,73,No,5,8,No,Direct Visit,Yes,Medium-Term,Not Started,Agency,33,5,5043,2020-12-24,Project-17,Consulting,Small,Moderate,Manager,In Progress,8,7,High,Medium,Not Started,2,Incomplete,2024/HR/0005,Project B,9,Converted,Learning Outcome B,Mid-Senior,2,1,Yes,No,In Progress,1038,Unknown,Premium,1388,Unknown,4922,3020,Not Certified,89,961,85,Inactive,Active,Yes,10,Premium,6,6,Unknown,8,12,4,9,13,10,7,5,13,11,No,8,11,7.0,Inactive,2117-11-06,148,38,1950,5.34,50,10.0,25,6.25,Medium
2024/Marketing/0012,2024/Sales/0049,Finance,Developer,12,2021-04-27,2021-08-09,2021-09-16,4827,Unknown,2024/Marketing/0007,45,1,Bachelor,Pmp,2,5,37,2,4,7,3,1,8,5,4,13,9,9,8,8,9,90,No,8,8,Yes,Fax,Yes,Short-Term,Achieved,Job Board,33,6,5012,2021-04-27,Project-56,Research,Small,Moderate,Developer,Failed,6,6,High,Medium,Partial,2,Incomplete,2024/Sales/0004,Project C,12,Converted,Learning Outcome A,Mid-Senior,11,7,No,No,Achieved,991,Award,Standard,1515,Stock Options,5016,3014,In Progress,77,1012,92,Inactive,Inactive,No,6,Premium,1,9,Unknown,6,10,6,7,6,13,10,5,8,9,Yes,8,6,4.0,Inactive,2119-01-19,104,38,1826,5.0,39,7.8,34,8.5,High
2024/Sales/0013,2024/Sales/0056,Marketing,Consultant,12,2019-02-11,2019-07-21,2019-09-02,4851,Unknown,2024/HR/0003,59,2,Phd,Pmp,6,2,38,2,7,9,5,5,11,3,9,7,6,4,4,8,9,86,Yes,5,5,Yes,Direct Visit,No,Medium-Term,Not Started,Referral,24,4,4868,2019-02-11,Project-31,Consulting,Medium,Moderate,Developer,In Progress,4,2,Low,High,Not Started,2,Incomplete,2024/Marketing/0008,Project B,8,Not Converted,Learning Outcome B,Associate,8,4,No,No,Achieved,1030,Award,Premium,1470,Unknown,4953,2950,Not Certified,82,1029,78,Active,Inactive,No,10,Standard,6,7,Unknown,7,9,6,6,8,8,12,8,6,9,Yes,13,7,6.0,Active,2119-07-08,160,43,2632,7.21,36,7.2,25,6.25,High
2024/Marketing/0014,2024/Marketing/0127,It,Consultant,12,2024-02-21,2024-06-06,2024-08-17,4981,Unknown,2024/HR/0003,58,0,Phd,Aws,1,2,44,4,8,2,3,2,11,2,6,9,11,4,10,7,5,78,No,6,4,Yes,Direct Visit,Yes,Medium-Term,Not Started,Job Board,33,2,5027,2024-02-21,Project-90,Research,Medium,Moderate,Developer,In Progress,9,7,Low,Low,Not Started,5,Completed,2024/Sales/0013,Project B,9,Converted,Learning Outcome B,Junior,4,2,No,Yes,Achieved,1045,Award,Basic,1529,Stock Options,5032,3103,Not Certified,78,970,84,Active,Inactive,No,6,Premium,11,9,Leadership Training,8,9,6,10,8,5,7,6,6,6,Yes,7,7,12.0,Inactive,2118-07-04,106,72,796,2.18,39,7.8,26,6.5,High
2024/Finance/0015,2024/IT/0068,Hr,Developer,15,2024-05-02,2024-05-11,2024-07-11,4927,Advanced,2024/HR/0003,49,0,Master,Cfa,6,6,45,0,11,10,3,5,8,12,7,7,6,8,13,7,13,84,No,9,7,Yes,Direct Visit,No,Short-Term,In Progress,Job Board,31,7,4941,2024-05-02,Project-47,Research,Medium,Moderate,Analyst,Successful,8,5,Low,Medium,Not Started,1,Incomplete,2024/Marketing/0012,Project C,7,Not Converted,Learning Outcome B,Junior,7,10,Yes,Yes,Not Started,941,Unknown,Basic,1540,Unknown,4945,3145,In Progress,83,955,75,Active,Inactive,Yes,8,Premium,4,7,Leadership Training,7,2,6,9,3,6,10,7,8,12,No,7,8,9.0,Inactive,2118-09-20,9,61,725,1.98,40,8.0,41,10.25,High
2024/Sales/0016,2024/Finance/0146,Finance,Consultant,7,2018-12-16,2019-02-05,2019-03-13,5031,Basic,2024/Sales/0004,42,2,Phd,Aws,5,2,36,1,11,5,4,5,10,6,9,8,6,10,9,7,8,90,No,5,6,Yes,Fax,No,Medium-Term,In Progress,Job Board,26,3,5087,2018-12-16,Project-15,Development,Medium,Complex,Developer,In Progress,8,10,Low,Low,Complete,3,Completed,2024/Marketing/0007,Project B,4,Converted,Learning Outcome C,Mid-Senior,10,3,Yes,Yes,In Progress,1008,Recognition,Premium,1475,Stock Options,5038,3038,Not Certified,77,953,63,Active,Active,Yes,4,Basic,5,8,Unknown,8,12,4,12,10,9,10,11,12,7,No,8,7,7.0,Inactive,2118-11-16,51,36,2689,7.36,39,7.8,34,8.5,Medium
2024/HR/0017,2024/Sales/0057,Marketing,Consultant,13,2021-12-14,2022-02-20,2022-05-09,4949,Advanced,2024/Marketing/0014,49,0,Master,Google Cloud,8,2,40,2,7,0,3,0,9,6,2,10,9,7,9,5,8,95,No,10,8,No,Fax,Yes,Short-Term,Not Started,Referral,28,2,4967,2021-12-14,Project-58,Research,Large,Simple,Manager,Failed,7,6,High,Low,Not Started,5,Completed,2024/Marketing/0009,Project B,6,Not Converted,Learning Outcome C,Associate,7,1,No,No,Achieved,1038,Award,Standard,1464,Stock Options,4974,3025,In Progress,79,945,84,Active,Active,Yes,9,Standard,2,11,Leadership Training,7,6,6,9,4,6,7,8,8,12,No,10,4,6.0,Inactive,2118-12-28,68,78,1595,4.37,36,7.2,29,7.25,High
2024/Finance/0018,2024/Marketing/0065,It,Analyst,13,2022-12-31,2023-05-24,2023-07-14,5114,Basic,2024/Marketing/0014,37,1,Phd,Google Cloud,5,4,42,5,7,0,5,3,3,10,9,10,5,13,7,7,5,74,No,5,6,Yes,Email,No,Short-Term,Not Started,Agency,40,5,5114,2022-12-31,Project-50,Development,Large,Moderate,Developer,Failed,11,6,Medium,Medium,Not Started,6,Incomplete,2024/Finance/0015,Project B,5,Not Converted,Learning Outcome B,Junior,9,7,No,Yes,Not Started,1037,Award,Standard,1516,Unknown,5021,3014,In Progress,83,1003,72,Active,Inactive,Yes,7,Premium,2,8,Leadership Training,5,6,7,11,3,11,7,3,11,8,No,9,5,9.0,Active,2118-11-07,144,51,1213,3.32,37,7.4,32,8.0,High
2024/HR/0019,2024/Sales/0064,Finance,Consultant,11,2019-09-14,2019-11-04,2020-01-10,4901,Basic,2024/Finance/0001,38,2,Phd,Cfa,9,7,44,5,8,1,3,2,13,16,8,8,11,8,7,6,5,97,No,5,8,Yes,Email,Yes,Medium-Term,Achieved,Agency,24,4,4992,2019-09-14,Project-64,Research,Large,Moderate,Developer,In Progress,6,9,Low,Medium,Partial,5,Incomplete,2024/Marketing/0007,Project C,6,Not Converted,Learning Outcome C,Mid-Senior,12,1,No,Yes,Not Started,1004,Award,Standard,1510,Unknown,5083,2993,Not Certified,68,993,92,Active,Active,No,4,Basic,6,6,Unknown,11,5,5,9,7,12,17,9,10,4,Yes,5,9,6.0,Active,2118-01-16,51,67,2417,6.62,56,11.2,26,6.5,High
2024/IT/0020,2024/Finance/0045,Sales,Analyst,8,2020-03-31,2020-09-18,2020-11-16,5184,Unknown,2024/Finance/0001,40,2,Phd,Google Cloud,5,3,36,4,9,5,0,3,7,7,9,11,7,4,8,2,12,70,Yes,6,9,Yes,Direct Visit,Yes,Long-Term,Not Started,Referral,34,7,5134,2020-03-31,Project-91,Research,Small,Simple,Developer,In Progress,4,12,High,Low,Complete,2,Completed,2024/HR/0003,Project C,9,Not Converted,Learning Outcome A,Junior,4,4,Yes,Yes,Achieved,1016,Recognition,Basic,1487,Stock Options,4972,3034,Not Certified,76,968,84,Inactive,Inactive,No,4,Basic,0,10,Unknown,7,6,6,10,5,4,12,10,5,7,No,8,10,5.0,Active,2119-12-26,171,59,2218,6.07,41,8.2,26,6.5,Medium
2024/Sales/0021,2024/IT/0096,It,Manager,5,2023-07-05,2023-10-08,2023-11-12,4990,Unknown,2024/IT/0002,57,1,Master,Google Cloud,7,3,35,5,4,4,0,5,10,5,6,14,7,4,12,11,9,93,No,6,8,No,Direct Visit,Yes,Medium-Term,In Progress,Agency,26,6,4995,2023-07-05,Project-78,Development,Medium,Moderate,Manager,Successful,6,4,High,Medium,Not Started,2,Incomplete,2024/HR/0006,Project B,4,Not Converted,Learning Outcome B,Mid-Senior,8,1,Yes,Yes,In Progress,1025,Unknown,Basic,1506,Unknown,5059,3012,In Progress,92,1029,73,Inactive,Inactive,No,10,Basic,2,7,Unknown,10,6,10,9,8,9,7,10,7,7,No,11,7,8.0,Inactive,2118-07-14,95,35,1027,2.81,42,8.4,36,9.0,Low
2024/HR/0022,2024/Sales/0042,Hr,Manager,19,2019-07-14,2019-08-21,2019-11-11,5049,Advanced,2024/HR/0006,46,1,Phd,Aws,5,3,37,3,6,0,1,2,4,6,6,3,9,11,6,6,6,86,Yes,2,6,Yes,Email,Yes,Short-Term,Not Started,Job Board,33,2,4844,2019-07-14,Project-88,Research,Small,Moderate,Analyst,Failed,6,9,Low,Medium,Partial,2,Completed,2024/Finance/0001,Project C,8,Not Converted,Learning Outcome B,Senior,7,3,Yes,No,In Progress,1011,Award,Basic,1430,Unknown,4959,3031,In Progress,78,1052,82,Active,Active,No,7,Standard,6,9,Leadership Training,7,7,12,6,8,8,7,8,5,8,No,6,10,10.0,Active,2119-02-26,38,82,2479,6.79,28,5.6,29,7.25,Exceptional
2024/Finance/0023,2024/Finance/0146,Marketing,Analyst,12,2023-12-23,2024-01-20,2024-03-27,4944,Basic,2024/Sales/0004,44,0,Master,Google Cloud,5,7,44,4,6,4,0,1,8,8,8,9,12,8,5,11,14,72,No,9,12,Yes,Direct Visit,Yes,Long-Term,Not Started,Agency,33,3,5100,2023-12-23,Project-89,Development,Small,Complex,Developer,In Progress,4,8,Medium,Low,Partial,5,Completed,2024/Marketing/0009,Project A,4,Not Converted,Learning Outcome C,Associate,10,4,No,No,Achieved,967,Recognition,Standard,1526,Stock Options,4994,3000,Certified,60,1041,67,Active,Inactive,No,9,Standard,6,13,Unknown,11,6,6,10,8,12,9,8,6,4,No,4,8,8.0,Inactive,2118-12-31,28,67,856,2.34,45,9.0,38,9.5,High
2024/Sales/0024,2024/Marketing/0154,It,Analyst,11,2021-05-22,2021-08-30,2021-10-03,5013,Advanced,2024/IT/0020,48,0,Bachelor,Google Cloud,6,3,37,1,9,10,2,3,13,6,5,7,12,6,9,14,3,80,No,7,6,Yes,Phone,No,Long-Term,Achieved,Agency,35,1,4980,2021-05-22,Project-94,Development,Large,Complex,Developer,In Progress,9,7,High,High,Not Started,5,Incomplete,2024/HR/0005,Project C,8,Not Converted,Learning Outcome A,Associate,9,1,Yes,Yes,In Progress,999,Recognition,Premium,1472,Unknown,5085,3034,In Progress,88,1004,80,Inactive,Inactive,Yes,7,Premium,9,6,Unknown,11,7,9,8,12,7,6,3,12,7,Yes,10,6,7.0,Inactive,2119-04-09,100,34,1801,4.93,43,8.6,32,8.0,High
2024/Sales/0025,2024/Finance/0181,Finance,Developer,8,2022-12-14,2023-02-19,2023-04-10,4930,Basic,2024/IT/0020,51,0,Phd,Google Cloud,1,2,38,5,8,5,1,1,6,13,11,8,10,3,6,12,11,82,No,5,5,No,Phone,No,Medium-Term,Not Started,Referral,27,6,4948,2022-12-14,Project-79,Development,Medium,Simple,Manager,In Progress,6,13,High,Medium,Not Started,2,Completed,2024/HR/0005,Project C,2,Converted,Learning Outcome A,Junior,10,5,Yes,No,Not Started,996,Recognition,Basic,1525,Unknown,4932,2955,Certified,78,1012,78,Active,Inactive,No,11,Premium,2,8,Leadership Training,8,14,5,10,9,12,10,6,5,8,Yes,7,6,10.0,Active,2119-01-28,67,50,1230,3.37,48,9.6,32,8.0,Medium
2024/Finance/0026,2024/IT/0180,Finance,Consultant,9,2020-03-09,2020-03-15,2020-05-29,5043,Unknown,2024/HR/0017,51,1,Phd,Aws,4,0,39,5,9,6,5,2,2,7,5,6,5,7,12,4,6,86,No,11,4,No,Fax,Yes,Medium-Term,In Progress,Internal,34,2,5049,2020-03-09,Project-68,Research,Small,Moderate,Manager,Successful,6,6,Medium,Medium,Not Started,6,Completed,2024/Finance/0015,Project B,6,Not Converted,Learning Outcome C,Associate,10,10,Yes,Yes,Not Started,1013,Unknown,Standard,1467,Unknown,4967,3076,Not Certified,87,955,65,Inactive,Active,No,16,Basic,4,11,Unknown,7,12,3,13,11,11,11,6,12,8,No,6,12,13.0,Active,2119-07-13,6,75,2240,6.13,25,5.0,29,7.25,Medium
2024/IT/0027,2024/HR/0041,Finance,Analyst,9,2019-03-03,2019-08-02,2019-10-07,5117,Advanced,2024/Sales/0004,49,2,Bachelor,Unknown,9,3,36,5,10,3,1,4,11,4,6,7,12,10,5,12,6,66,No,6,4,Yes,Email,No,Short-Term,Achieved,Internal,36,7,5066,2019-03-03,Project-96,Research,Small,Complex,Manager,In Progress,3,8,Low,Medium,Complete,5,Completed,2024/HR/0017,Project A,7,Not Converted,Learning Outcome B,Mid-Senior,9,1,Yes,No,Achieved,983,Award,Basic,1429,Stock Options,4945,3014,Certified,87,1018,75,Active,Inactive,No,8,Premium,5,6,Leadership Training,10,10,11,6,9,9,3,12,4,9,No,10,6,3.0,Active,2120-05-16,152,66,2612,7.15,40,8.0,33,8.25,Medium
